,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
274,Ganzhou,0,CN,1521701829,49,25.86,114.93,66.84,3.38
275,Bajil,0,ES,1521701829,63,38.23,-2.07,28.95,9.98
276,Sarakhs,80,TM,1521698400,55,36.54,61.16,66.2,11.41
277,Umm Lajj,0,SA,1521701829,59,25.02,37.27,80.34,1.36
278,Tucuman,32,PE,1521701830,87,-17.17,-70.89,56.94,1.59
279,Samarai,76,PG,1521701618,100,-10.62,150.67,79.89,9.08
280,Kuala Selangor,75,MY,1521698400,70,3.34,101.25,86.0,13.87
281,Abalak,56,NE,1521701670,58,15.46,6.28,71.79,6.73
282,Kahului,1,US,1521698160,68,20.89,-156.47,71.6,12.75
283,Guerrero Negro,80,MX,1521701831,86,27.97,-114.04,60.45,3.6
284,Lima,8,PE,1521701640,90,-12.06,-77.04,59.19,1.92
285,Bitung,40,ID,1521700200,78,1.44,125.19,82.4,2.24
286,Alyangula,88,AU,1521701832,100,-13.85,136.42,82.68,33.8
287,Sayat,75,TM,1521698400,32,38.78,63.88,69.8,25.28
288,Ketchikan,90,US,1521698160,69,55.34,-131.65,42.8,10.29
289,Sitka,56,US,1521701833,46,37.17,-99.65,51.99,15.23
290,Zhigansk,80,RU,1521701535,71,66.77,123.37,8.97,4.72
291,Usinsk,32,RU,1521701834,87,66.0,57.56,-6.42,7.52
292,Keetmanshoop,20,NA,1521698400,77,-26.57,18.15,66.2,3.38
293,Sao Borja,0,BR,1521701835,87,-28.66,-56.0,58.02,10.42
294,Takab,0,IR,1521701835,31,36.4,47.11,50.73,2.71
295,Sechura,12,PE,1521701514,85,-5.56,-80.82,70.62,6.51
296,Beyla,20,GN,1521701568,97,8.69,-8.65,69.27,5.61
297,Gunjur,5,GM,1521698400,68,13.18,-16.76,68.0,6.93
298,Lolodorf,88,CM,1521701837,96,3.23,10.73,72.15,1.03
299,Maragogi,56,BR,1521701838,100,-9.01,-35.22,75.48,3.94
300,Tambun,75,MY,1521698400,63,4.62,101.14,91.4,4.7
301,Sembakung,24,ID,1521701838,62,3.82,117.25,89.25,2.59
302,Tautira,20,PF,1521700200,74,-17.73,-149.15,82.4,3.36
303,Geraldton,40,CA,1521698400,46,49.72,-86.95,6.8,2.24
304,Savalou,0,BJ,1521701839,96,7.93,1.98,73.32,5.39
305,Birin,0,SY,1521701839,39,35.01,36.67,62.16,5.06
306,Rio Gallegos,0,AR,1521698400,61,-51.62,-69.22,50.0,5.82
307,Alice Springs,40,AU,1521698400,24,-23.7,133.88,91.4,8.05
308,Calabozo,24,VE,1521701840,67,8.92,-67.43,81.87,15.01
309,Khorixas,32,NA,1521701841,92,-20.37,14.96,63.24,2.93
310,Mar del Plata,64,AR,1521701619,60,-46.43,-67.52,60.54,16.46
311,Pavino,90,RU,1521700200,79,55.02,82.61,28.4,2.24
312,Cabra,0,ES,1521700200,91,37.47,-4.43,33.8,1.12
313,Jawhar,0,IN,1521701842,32,19.91,73.23,89.07,4.72
314,Tabou,68,CI,1521701842,100,4.42,-7.36,81.06,8.41
315,Alekseyevka,75,RU,1521700200,85,53.25,50.49,24.8,8.95
316,Hofn,92,IS,1521701641,100,64.25,-15.21,39.93,8.41
317,Cognac,0,FR,1521700200,80,45.69,-0.33,30.2,2.24
318,Acapulco,5,MX,1521697680,83,16.86,-99.88,75.2,3.71
319,Berlevag,90,NO,1521699600,85,70.86,29.09,23.0,4.7
320,Pitimbu,75,BR,1521698400,78,-7.47,-34.81,78.8,1.12
321,Autazes,0,BR,1521701844,97,-3.58,-59.13,76.47,2.71
322,Am Timan,0,TD,1521701845,74,11.04,20.28,75.48,8.08
323,Provideniya,92,RU,1521701563,94,64.42,-173.23,32.46,26.64
324,Mocajuba,32,BR,1521701845,96,-2.58,-49.5,75.39,3.04
325,Kavieng,24,PG,1521701846,93,-2.57,150.8,86.64,14.67
326,Liverpool,75,GB,1521699600,87,53.41,-2.98,44.6,6.93
327,Itarema,48,BR,1521701846,93,-2.92,-39.92,75.39,4.61
328,North Bend,90,US,1521701040,100,43.41,-124.22,46.4,5.82
329,Shenjiamen,0,CN,1521701847,89,29.96,122.3,51.36,9.98
330,Saint-Pierre,75,FR,1521700200,90,48.95,4.24,32.0,8.05
331,Saint Anthony,40,US,1521698160,70,43.97,-111.68,42.8,10.29
332,Obukhiv,20,UA,1521700200,79,50.11,30.63,28.4,6.71
333,Erzin,0,TR,1521699600,82,36.95,36.2,60.8,3.36
334,Brandon,1,US,1521700500,76,43.59,-96.57,32.0,3.36
335,Luena,48,AO,1521701849,97,-11.78,19.91,64.59,2.93
336,Ostrovnoy,48,RU,1521701849,84,68.05,39.51,10.41,9.75
337,Opuwo,24,NA,1521701850,91,-18.06,13.84,60.63,2.93
338,Nordby,92,DK,1521699600,100,55.45,8.41,41.0,14.99
339,Itoman,75,JP,1521698400,51,26.12,127.67,64.4,19.46
340,Gejiu,88,CN,1521701850,82,23.36,103.16,60.99,2.71
341,Reconquista,0,AR,1521701851,83,-29.14,-59.64,59.01,10.09
342,La Baneza,0,ES,1521698400,85,42.3,-5.9,21.2,3.36
343,Marsh Harbour,0,BS,1521701540,100,26.54,-77.06,70.71,19.04
344,Suluq,80,LY,1521701610,75,31.67,20.25,59.19,5.17
345,Santa Cruz de Tenerife,75,ES,1521700200,81,28.47,-16.25,59.0,4.7
346,Kudahuvadhoo,64,MV,1521701852,100,2.67,72.89,83.76,6.62
347,Puerto Escondido,0,MX,1521701573,99,15.86,-97.07,81.69,12.21
348,Egvekinot,76,RU,1521701853,92,66.32,-179.17,29.49,8.41
349,Seara,0,BR,1521701853,86,-27.15,-52.31,55.68,4.72
350,Arman,0,RU,1521700200,39,59.7,150.17,8.6,8.95
351,Balikpapan,88,ID,1521701854,100,-1.24,116.86,80.25,4.38
352,Amapa,20,HN,1521701854,89,15.09,-87.97,65.04,1.92
353,Sinnamary,92,GF,1521701855,97,5.38,-52.96,78.9,14.67
354,Maues,32,BR,1521701855,96,-3.38,-57.72,75.21,2.15
355,Buin,0,CL,1521698400,62,-33.73,-70.74,53.6,4.7
356,Derby,75,GB,1521699600,87,52.92,-1.48,42.8,10.29
357,Road Town,40,VG,1521697980,100,18.42,-64.62,75.2,13.87
358,Dakoro,20,NE,1521701856,53,14.51,6.76,77.01,8.19
359,Zhezkazgan,75,KZ,1521698400,81,47.8,67.71,44.6,4.47
360,Caravelas,24,BR,1521701857,100,-17.73,-39.27,81.96,16.46
361,Cap-aux-Meules,56,CA,1521701857,94,47.38,-61.86,30.57,23.73
362,Klaksvik,92,FO,1521699600,100,62.23,-6.59,41.0,16.11
363,Fez,40,MA,1521700200,86,34.03,-5.02,39.2,8.05
364,Atikokan,0,CA,1521701858,71,48.76,-91.62,10.41,2.48
365,Vizinga,0,RU,1521701858,61,61.08,50.08,4.29,3.71
366,Coahuayana,12,MX,1521701859,77,18.62,-100.35,63.24,2.71
367,Rapid Valley,20,US,1521701700,85,44.06,-103.15,37.4,2.59
368,Karasjok,0,NO,1521699600,84,69.47,25.52,3.2,3.6
369,Margate,75,AU,1521698400,59,-43.03,147.26,60.8,13.87
370,Pitangui,68,BR,1521701860,96,-19.68,-44.89,65.4,3.04
371,Bandarbeyla,0,SO,1521701860,100,9.49,50.81,78.27,2.15
372,Salihorsk,12,BY,1521701860,79,52.79,27.54,19.77,9.19
373,Altay,24,CN,1521701861,76,47.83,88.13,42.27,2.59
374,Bhuj,0,IN,1521701578,42,23.25,69.67,86.73,8.41
375,Victoria,75,BN,1521698400,74,5.28,115.24,87.8,9.17
376,Hvide Sande,88,DK,1521699720,100,56.01,8.13,41.0,14.99
377,Bolobo,92,CD,1521701863,100,-2.17,16.23,69.99,3.6
378,Santiago del Estero,0,AR,1521701677,80,-27.8,-64.26,63.87,9.53
379,Grand Gaube,75,MU,1521698400,70,-20.01,57.66,84.2,9.17
380,Oranjestad,20,AW,1521698400,88,12.52,-70.03,78.8,17.22
381,Codrington,92,AU,1521701516,95,-28.95,153.24,68.01,6.62
382,Gornyy,68,RU,1521701864,96,51.76,48.54,23.73,15.12
383,Palmer,1,US,1521698160,42,61.6,-149.11,28.4,27.51
384,Savonlinna,90,FI,1521699600,92,61.87,28.88,28.4,5.82
385,Luganville,80,VU,1521701865,100,-15.51,167.18,79.89,14.23
386,Pangkalanbuun,20,ID,1521701865,81,-2.68,111.62,88.44,4.16
387,Show Low,1,US,1521700500,45,34.25,-110.03,55.4,10.29
388,Tecpan,0,GT,1521698400,82,14.76,-90.99,62.6,18.34
389,Sijunjung,92,ID,1521701866,96,-0.69,100.95,74.04,3.04
390,Bonavista,76,CA,1521701867,94,48.65,-53.11,25.71,9.42
391,Chiredzi,0,ZW,1521701867,73,-21.05,31.67,76.65,4.61
392,Belmonte,0,PT,1521701867,80,40.36,-7.35,24.54,2.59
393,Volgodonsk,24,RU,1521701868,99,47.51,42.17,28.32,10.54
394,Tual,36,ID,1521701471,100,-5.67,132.75,81.87,17.47
395,Swellendam,0,ZA,1521698400,68,-34.02,20.44,66.2,8.05
396,Ornskoldsvik,40,SE,1521699600,74,63.29,18.72,35.6,11.41
397,Carutapera,48,BR,1521701869,90,-1.2,-46.02,78.9,7.07
398,Arlit,48,NE,1521701870,43,18.74,7.39,64.23,2.71
399,Krasnoarmeysk,40,RU,1521700200,68,56.12,38.15,26.6,8.95
400,Kifri,8,IQ,1521701870,39,34.69,44.96,68.55,4.5
401,Saint-Leu,0,RE,1521700200,74,-21.15,55.28,86.0,16.11
402,Lumphat,44,KH,1521701871,59,13.5,106.97,84.66,2.59
403,Norman,1,US,1521700500,46,35.22,-97.44,51.8,8.05
404,Touros,92,BR,1521701872,82,-5.2,-35.46,80.61,8.41
405,Tehachapi,90,US,1521700620,81,35.13,-118.45,53.6,13.87
406,Kanniyakumari,0,IN,1521701872,98,8.08,77.57,83.94,16.58
407,Champerico,5,MX,1521697620,65,16.38,-93.6,77.0,11.41
408,Maceio,0,BR,1521698400,94,-9.67,-35.74,73.4,3.36
409,Portland,90,US,1521701160,100,45.52,-122.67,50.0,8.05
410,Port Lincoln,8,AU,1521701874,73,-34.72,135.86,71.97,4.94
411,Mareeba,75,AU,1521700080,100,-16.99,145.42,73.4,16.11
412,La Ronge,90,CA,1521698400,80,55.1,-105.3,30.2,10.29
413,La Grande,90,US,1521698160,66,45.32,-118.09,53.6,21.92
414,Nyurba,36,RU,1521701876,52,63.29,118.35,23.37,5.73
415,Brae,20,GB,1521699600,100,60.4,-1.35,42.8,9.17
416,Waipawa,36,NZ,1521701876,91,-39.94,176.59,62.16,6.51
417,Gwadar,0,PK,1521701877,84,25.12,62.33,78.0,5.17
418,Bambanglipuro,32,ID,1521701877,97,-7.95,110.28,82.59,4.05
419,San Jeronimo,48,PE,1521701877,96,-13.65,-73.37,42.36,1.92
420,Manzhouli,36,CN,1521701878,23,49.6,117.43,40.02,13.0
421,Ilulissat,88,GL,1521697800,85,69.22,-51.1,10.4,6.93
422,Alberton,75,ZA,1521699840,100,-26.25,28.13,62.6,11.41
423,Kaohsiung,20,TW,1521700200,53,22.62,120.31,73.4,9.17
424,San Luis,0,AR,1521701879,41,-33.3,-66.34,67.56,15.12
425,Jatiroto,0,ID,1521701880,78,-7.61,109.46,89.07,8.75
426,Coolum Beach,92,AU,1521701880,98,-26.53,153.09,72.96,9.53
427,Mangan,68,IN,1521701880,73,27.5,88.54,37.59,1.7
428,Rawson,68,AR,1521701655,33,-43.3,-65.11,68.01,21.27
429,Qasigiannguit,88,GL,1521697800,85,68.82,-51.19,10.4,6.93
430,Abnub,0,EG,1521698400,36,27.27,31.15,64.4,2.71
431,Libenge,12,CD,1521701882,94,3.65,18.64,74.31,2.59
432,Tessalit,0,ML,1521701531,33,20.2,1.01,54.33,12.66
433,Puerto Carreno,64,CO,1521701882,93,6.19,-67.49,70.26,2.04
434,Saint-Georges,80,CA,1521701635,80,46.12,-70.67,28.59,6.62
435,Haines Junction,76,CA,1521701505,75,60.75,-137.51,11.04,5.39
436,Napier,12,NZ,1521701686,91,-39.49,176.92,65.94,13.0
437,Ayagoz,0,KZ,1521701883,100,47.96,80.43,56.04,4.38
438,Vila Velha,75,BR,1521698400,78,-3.71,-38.6,82.4,10.29
439,Solnechnyy,0,RU,1521701884,66,50.72,136.64,29.85,4.72
440,Cahors,0,FR,1521700200,79,44.45,1.44,28.4,6.93
441,Ponta do Sol,32,BR,1521701884,96,-20.63,-46.0,63.51,3.15
442,Stokmarknes,40,NO,1521697800,85,68.56,14.91,26.6,5.82
443,Mtimbira,80,TZ,1521701885,96,-8.78,36.35,71.61,2.59
444,Port Blair,0,IN,1521701602,100,11.67,92.75,82.77,5.5
445,Homer,1,US,1521697980,89,59.64,-151.54,32.0,14.99
446,Khandyga,0,RU,1521701509,52,62.65,135.58,7.89,3.15
447,Thinadhoo,56,MV,1521701886,98,0.53,72.93,85.29,9.53
448,Kathmandu,40,NP,1521699600,38,27.71,85.32,73.4,9.17
449,Sao Felix do Xingu,12,BR,1521701886,97,-6.64,-51.99,73.77,1.36
450,Valley Station,1,US,1521697980,56,33.35,-86.77,42.8,6.17
451,Boyolangu,32,ID,1521701887,75,-8.09,111.9,83.22,6.51
452,San Felipe,0,CL,1521698400,62,-32.75,-70.73,53.6,4.7
453,Galle,1,US,1521701460,81,29.74,-97.91,60.8,10.76
454,Evora,0,PT,1521701648,75,38.57,-7.9,28.95,2.71
455,Mitu,8,IR,1521701889,35,36.2,46.09,52.08,2.15
456,Godfrey,1,US,1521700500,86,38.96,-90.19,39.2,3.49
457,Muncar,76,ID,1521701890,98,-8.43,114.34,81.96,2.48
458,Deputatskiy,0,RU,1521701890,76,69.3,139.9,-4.89,3.71
459,Beloha,36,MG,1521701891,76,-25.17,45.06,79.44,8.19
460,Bar Harbor,90,US,1521700560,68,44.39,-68.2,32.0,16.11
461,At-Bashi,0,KG,1521701565,75,41.17,75.81,39.66,1.59
462,Argelia,92,CO,1521701892,100,4.73,-76.12,63.24,0.36
463,Iskateley,20,RU,1521701892,80,67.68,53.15,1.59,16.02
464,Malanje,88,AO,1521701623,98,-9.54,16.35,65.31,2.93
465,Shimoda,40,JP,1521698400,67,34.7,138.93,59.0,24.16
466,Moron,80,VE,1521701538,93,10.49,-68.2,68.64,2.48
467,Saint George,75,GR,1521699600,81,39.45,22.34,53.6,4.7
468,Lisala,0,CD,1521701894,90,2.15,21.52,74.13,3.71
469,Vila Franca do Campo,40,PT,1521700200,100,37.72,-25.43,60.8,16.11
470,Tilichiki,88,RU,1521701894,87,60.47,166.1,18.42,6.96
471,Camacha,75,PT,1521700200,62,33.08,-16.33,57.2,11.41
472,Chubbuck,75,US,1521697980,80,42.93,-112.47,41.0,4.94
473,Villa Bruzual,64,VE,1521701895,92,9.33,-69.12,73.14,3.04
474,Ayan,88,TR,1521701474,61,40.67,33.6,43.89,2.59
475,Eureka,90,US,1521700500,76,40.8,-124.16,57.2,11.41
476,Reforma,0,MX,1521701897,49,24.02,-104.65,55.59,5.39
477,Derzhavinsk,64,KZ,1521701543,100,51.1,66.31,43.44,13.11
478,Sabang,80,PH,1521701897,96,13.72,123.58,78.9,7.52
479,Natal,40,BR,1521698400,74,-5.81,-35.21,80.6,8.05
480,Kyshtovka,68,RU,1521701898,96,56.56,76.62,22.11,6.73
481,Sterling,90,US,1521701580,80,39.0,-77.4,37.4,6.93
482,Manyana,75,AU,1521698400,64,-35.26,150.51,68.0,14.99
483,Najran,0,SA,1521698400,16,17.54,44.22,77.0,4.7
484,La Paz,5,MX,1521697380,55,24.15,-110.32,64.4,5.82
485,Mogocha,80,RU,1521701900,59,53.73,119.76,31.47,7.63
486,Inyonga,20,TZ,1521701900,95,-6.72,32.06,67.83,3.6
487,Fortuna,0,ES,1521700200,44,38.18,-1.13,42.8,9.17
488,Sobolevo,20,RU,1521701613,87,54.43,31.9,17.34,8.75
489,Samana,36,EC,1521701901,95,0.12,-76.97,71.97,2.04
490,Koslan,0,RU,1521701902,58,63.46,48.9,1.86,3.94
491,Harper,1,US,1521701460,55,30.3,-99.24,60.8,5.82
492,Pembroke,1,CA,1521698400,49,45.82,-77.11,26.6,13.87
493,Vibo Valentia,75,IT,1521697800,76,38.68,16.09,51.8,6.93
494,Krasnogorsk,40,RU,1521700200,68,55.82,37.34,28.4,8.95
495,Aykhal,44,RU,1521701904,76,65.95,111.51,16.44,5.61
496,Hecun,20,CN,1521701904,61,29.94,119.31,60.99,3.6
497,Monterey,75,US,1521700500,93,36.6,-121.89,60.8,4.7
498,Paamiut,44,GL,1521701575,100,61.99,-49.67,27.24,29.55
499,Indian Head,0,CA,1521701905,79,50.53,-103.67,14.46,6.62
500,Alakurtti,80,RU,1521701639,86,66.96,30.34,15.54,3.15
501,Kainantu,48,PG,1521701906,94,-6.29,145.87,70.62,1.36
502,Yermakovskoye,68,RU,1521701906,92,53.28,92.4,44.52,2.93
503,Saint-Francois,0,FR,1521700200,85,46.42,3.91,24.8,4.5
504,Belaya Gora,8,RU,1521701907,75,68.54,146.19,-17.13,4.61
505,Adrar,0,DZ,1521698400,32,27.87,-0.29,41.0,9.17
506,Pirgos,0,GR,1521699600,29,35.12,25.72,75.2,25.28
507,Basco,1,US,1521700500,64,40.33,-91.2,35.6,4.7
508,Salvador,40,BR,1521698400,78,-12.98,-38.48,80.6,6.93
509,Viloco,0,BO,1521701908,100,-16.87,-67.5,43.98,1.7
510,Mezen,56,RU,1521701909,66,65.85,44.24,5.73,8.08
511,College,1,US,1521698280,84,64.86,-147.8,8.6,2.71
512,Pijijiapan,12,MX,1521701909,71,15.69,-93.21,69.63,2.93
513,Karla,75,EE,1521699600,94,59.37,24.93,32.0,12.75
514,Tulun,12,RU,1521701910,69,54.56,100.58,37.32,5.17
515,Clyde River,90,CA,1521698400,67,70.47,-68.59,-25.61,10.29
516,Matola,90,MZ,1521698400,94,-25.97,32.47,71.6,10.29
517,Fort Nelson,75,CA,1521698400,66,58.81,-122.69,10.4,11.41
518,Mungwi,92,ZM,1521701912,96,-10.17,31.37,65.4,4.05
519,Ojinaga,0,US,1521701670,40,29.56,-104.41,50.91,2.48
520,Westport,90,IE,1521700200,80,53.8,-9.52,41.0,11.41
521,Tarija,64,BO,1521701913,97,-21.53,-64.73,50.01,1.92
522,Nchelenge,32,ZM,1521701913,83,-9.35,28.74,71.43,3.04
523,Fukue,40,JP,1521700200,62,35.03,136.69,59.0,20.8
524,Sabha,8,LY,1521701529,26,27.03,14.43,61.62,13.22
525,Bubaque,0,GW,1521701537,100,11.28,-15.83,74.85,9.53
526,Gizo,0,IL,1521699600,32,31.8,34.94,69.8,1.12
527,Kulhudhuffushi,0,MV,1521701566,100,6.62,73.07,83.76,7.74
528,Butterworth,75,MY,1521698400,66,5.4,100.37,91.4,9.17
529,Barra do Garcas,12,BR,1521701915,91,-15.89,-52.26,73.23,3.15
530,Papetoai,20,PF,1521700200,74,-17.5,-149.87,82.4,3.36
531,Santa Maria da Vitoria,24,BR,1521701915,92,-13.39,-44.19,64.14,2.71
532,Salinas,75,US,1521700500,93,36.67,-121.66,60.8,4.7
533,Petatlan,0,MX,1521701916,97,17.52,-101.27,76.83,4.72
534,Myitkyina,0,MM,1521701917,37,25.38,97.4,87.09,0.92
535,San Policarpo,76,PH,1521701615,90,12.18,125.51,82.14,12.66
536,Pundaguitan,24,PH,1521701917,96,6.37,126.17,84.21,4.38
537,Chitrakonda,0,IN,1521701917,48,18.12,82.08,89.25,3.49
538,Kamina,88,CD,1521701918,99,-8.74,25.0,67.47,3.71
539,Mananjary,8,MG,1521701918,67,-19.16,46.8,74.31,3.94
540,Kununurra,40,AU,1521698400,26,-15.77,128.74,102.2,14.99
541,Ola,0,RU,1521700200,39,59.58,151.3,8.6,8.95
542,Marfino,40,RU,1521700200,68,56.07,37.56,28.4,8.95
543,Kruisfontein,0,ZA,1521701920,95,-34.0,24.73,64.86,5.61
544,Alugan,76,PH,1521701920,90,12.22,125.48,82.14,12.66
545,Barao de Melgaco,0,BR,1521698400,94,-16.19,-55.97,77.0,2.24
546,Nioro,0,GM,1521701921,55,13.79,-15.05,64.95,3.71
547,Yatou,75,CM,1521698400,100,3.63,9.81,73.4,3.36
548,Nouadhibou,0,MR,1521698400,59,20.93,-17.03,60.8,28.86
